GraphID,XAxis,XMin,XMax,XStep,Population,GDP_per_capita,Trade_union_density,Unemployment_rate,Health,Education,Housing,Community_development,Corporate_tax_rate,Inflation,IRLT,Region_East_Asia_and_Pacific,Region_Europe_and_Central_Asia,Region_Latin_America_and_Caribbean,Region_Middle_East_and_North_Africa
1,Health,0,0.1,20,20596121,17512.9,27.6,15.629,0.0898,0.0447,0.0008,0.0022,26.78,3.5036,0.358,0,0,1,0
2,Health,0,0.1,20,39141824,37857.5,17.1,4.245,0.0755,0.0769,0.0019,0.0005,28.68,1.4113,6.365,0,0,0,1
3,Population,0,100000000,20,61680687,83825.7,25.3,9.159,0.061,0.0547,0.0029,0.0005,21.39,1.9096,2.638,0,0,0,1
4,Unemployment_rate,0,20,20,26571085,69819.3,20.3,10.497,0.0746,0.0644,0.0053,0.0029,25.07,0.0898,4.229,0,0,1,0
5,Education,0,0.1,20,34960639,59990.2,45.4,9.108,0.0898,0.0568,0.0042,0.0024,30.74,3.9743,0.186,1,0,0,0
6,Housing,0,0.01,20,42011821,40219.6,37.4,5.679,0.0947,0.0504,0.005,0.0014,27.65,4.1813,4.034,0,0,0,1
7,Community_development,0,0.005,20,4408538,2337.5,40.5,7.043,0.0447,0.0678,0.0007,0.0011,24.77,3.1057,5.086,1,0,0,0
8,Housing,0,0.01,20,61564748,48564.3,19.4,10.939,0.0572,0.0504,0.0006,0.003,38.95,1.767,4.631,1,0,0,0
9,Population,0,100000000,20,8377524,96981.0,20.9,11.215,0.0428,0.0293,0.0003,0.0005,34.38,4.6849,4.633,1,0,0,0
10,Community_development,0,0.005,20,21588921,50325.6,4.5,7.67,0.0781,0.0313,0.0042,0.0033,24.6,6.7444,3.62,1,0,0,0
11,Housing,0,0.01,20,32405765,25220.2,49.1,6.449,0.0453,0.045,0.0043,0.0063,25.27,0.904,1.955,0,1,0,0
12,Trade_union_density,0,80,20,39916740,47696.2,60.3,7.551,0.083,0.0374,0.0033,0.0044,21.17,3.9995,4.283,0,0,1,0
13,Community_development,0,0.005,20,38252794,54219.4,16.3,11.706,0.0983,0.0422,0.0057,0.0011,28.64,0.5365,2.503,0,1,0,0
14,Unemployment_rate,0,20,20,4400477,57731.1,29.0,12.849,0.0538,0.0348,0.002,0.0042,26.67,0.9928,3.576,0,1,0,0
15,Unemployment_rate,0,20,20,6116076,7630.1,53.9,4.611,0.0557,0.0498,0.0036,0.0017,24.23,3.0206,5.35,0,1,0,0
16,Unemployment_rate,0,20,20,58569510,8038.7,32.2,4.143,0.0688,0.0515,0.0037,0.003,30.38,1.0905,2.705,0,0,1,0
17,Unemployment_rate,0,20,20,35618984,38449.7,22.0,3.943,0.0333,0.0433,0.0052,0.0031,23.2,0.2145,2.684,0,0,1,0
18,Population,0,100000000,20,50468653,54134.5,7.0,7.249,0.0843,0.0417,0.0049,0.0016,25.32,2.0742,2.726,0,0,1,0
19,Trade_union_density,0,80,20,36649444,16876.3,33.5,6.048,0.0542,0.0366,0.0033,0.0021,27.23,2.5018,7.661,0,0,0,1
20,Population,0,100000000,20,23439959,46733.8,37.9,9.692,0.0643,0.0547,0.0021,0.0035,18.71,4.067,4.625,1,0,0,0
21,GDP_per_capita,0,100000,20,28707408,68103.0,15.7,9.16,0.0525,0.0717,0.0032,0.003,26.82,2.1464,3.84,0,1,0,0
22,Population,0,100000000,20,22973815,80554.4,61.7,10.503,0.0444,0.0492,0.0044,0.0025,27.9,1.25,2.088,0,1,0,0
23,Housing,0,0.01,20,73524901,62958.6,13.0,1.982,0.0615,0.0445,0.0037,0.0048,27.81,0.8501,1.855,0,0,1,0
24,Population,0,100000000,20,6784165,80420.4,24.7,8.25,0.0905,0.0472,0.0047,0.0023,32.83,0.8543,1.564,0,0,0,1
25,Education,0,0.1,20,71593876,16140.4,40.5,14.844,0.0653,0.0568,0.0033,0.0002,28.42,0.5823,3.148,1,0,0,0
26,Unemployment_rate,0,20,20,18684106,22618.2,7.7,3.097,0.0822,0.0688,0.0013,0.0036,9.14,5.7855,5.805,0,1,0,0
27,Community_development,0,0.005,20,19681686,65757.7,41.3,5.436,0.0651,0.0423,0.0001,0.0009,29.06,0.9318,1.282,0,0,1,0
28,Housing,0,0.01,20,5881505,18122.2,47.2,11.087,0.0704,0.0362,0.0001,0.004,32.4,1.616,4.185,1,0,0,0
29,GDP_per_capita,0,100000,20,10332775,62174.9,41.5,11.375,0.0422,0.0494,0.0007,0.0034,23.08,1.2079,1.686,1,0,0,0
30,Community_development,0,0.005,20,31960337,46330.9,62.6,6.207,0.096,0.0706,0.005,0.0011,31.38,1.0382,2.162,1,0,0,0
31,Trade_union_density,0,80,20,27331259,53942.7,19.3,4.813,0.0657,0.0498,0.0072,0.0043,13.81,3.8961,2.816,0,0,0,1
32,Trade_union_density,0,80,20,9713531,12365.8,13.0,9.607,0.0514,0.0524,0.0115,0.0021,20.01,5.2457,1.363,0,0,1,0
33,Trade_union_density,0,80,20,8979933,10219.2,8.0,4.851,0.065,0.052,0.0018,0.0023,32.39,0.7261,0.84,0,0,1,0
34,Unemployment_rate,0,20,20,35779415,21949.7,46.1,6.008,0.0633,0.0436,0.0057,0.0012,21.26,4.8764,2.102,0,1,0,0
35,Health,0,0.1,20,39533646,33391.2,62.8,14.75,0.0831,0.0495,0.0073,0.0025,14.28,4.2597,2.552,1,0,0,0
36,GDP_per_capita,0,100000,20,18727713,46970.0,58.2,4.31,0.0437,0.0451,0.0019,0.0013,16.9,2.5743,3.516,0,0,1,0
37,Housing,0,0.01,20,20044944,43673.4,59.4,10.941,0.0533,0.0702,0.0059,0.0026,21.41,2.1352,7.528,0,0,1,0
38,Population,0,100000000,20,45484786,33397.4,26.9,11.88,0.0496,0.0378,0.0009,0.0006,29.06,2.0799,4.36,0,0,0,1
39,GDP_per_capita,0,100000,20,44345265,52616.0,29.0,11.157,0.1116,0.0448,0.005,0.0036,29.49,4.2324,1.871,1,0,0,0
40,GDP_per_capita,0,100000,20,27459299,43166.3,46.8,15.171,0.0488,0.0282,0.0058,0.0016,17.92,4.3875,4.817,0,1,0,0
