QuestionID,IsHidden,QuestionText,PostID
1,false,In hac habitasse platea dictumst.,31
2,false,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",59
3,false,Aliquam sit amet diam in magna bibendum imperdiet.,21
4,true,Duis bibendum.,30
5,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",44
6,true,Etiam faucibus cursus urna.,9
7,false,Duis ac nibh.,33
8,false,Suspendisse potenti.,61
9,true,Integer ac neque.,25
10,true,Morbi quis tortor id nulla ultrices aliquet.,70
11,true,Nunc nisl.,8
12,true,Donec posuere metus vitae ipsum.,46
13,false,Aenean fermentum.,17
14,false,Morbi porttitor lorem id ligula.,48
15,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",70
16,false,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",12
17,false,Integer non velit.,28
18,true,Nulla tellus.,68
19,false,Aenean lectus.,15
20,false,Cras pellentesque volutpat dui.,23
21,true,Maecenas ut massa quis augue luctus tincidunt.,17
22,true,Duis ac nibh.,64
23,false,In hac habitasse platea dictumst.,11
24,false,Etiam pretium iaculis justo.,32
25,false,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",26
26,false,Vivamus tortor.,12
27,false,In hac habitasse platea dictumst.,73
28,false,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",34
29,false,Sed ante.,80
30,false,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",60
31,true,Phasellus in felis.,11
32,true,Morbi a ipsum.,29
33,false,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",47
34,true,Nunc purus.,36
35,false,Vestibulum sed magna at nunc commodo placerat.,75
36,true,Duis bibendum.,25
37,false,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",29
38,false,Donec ut dolor.,25
39,true,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,31
40,true,Sed ante.,55
41,false,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,14
42,false,Nam dui.,17
43,false,Curabitur at ipsum ac tellus semper interdum.,66
44,false,Praesent id massa id nisl venenatis lacinia.,4
45,false,In hac habitasse platea dictumst.,21
46,false,Mauris sit amet eros.,16
47,false,Proin risus.,65
48,true,Vivamus vestibulum sagittis sapien.,72
49,false,Duis ac nibh.,4
50,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",45
51,true,Nulla tellus.,65
52,false,Suspendisse ornare consequat lectus.,21
53,false,Duis aliquam convallis nunc.,73
54,false,Sed sagittis.,45
55,true,Aenean lectus.,44
56,false,Duis consequat dui nec nisi volutpat eleifend.,61
57,false,Aenean fermentum.,58
58,true,Nullam sit amet turpis elementum ligula vehicula consequat.,59
59,true,Praesent blandit.,55
60,true,Suspendisse accumsan tortor quis turpis.,44
61,true,Donec vitae nisi.,20
62,true,Phasellus sit amet erat.,40
63,true,Duis consequat dui nec nisi volutpat eleifend.,52
64,true,Sed accumsan felis.,50
65,true,Vivamus tortor.,58
66,true,In quis justo.,17
67,false,Integer ac leo.,60
68,false,Fusce posuere felis sed lacus.,2
69,true,Cras pellentesque volutpat dui.,40
70,true,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",15
71,true,Integer non velit.,39
72,false,Ut at dolor quis odio consequat varius.,33
73,true,Curabitur at ipsum ac tellus semper interdum.,22
74,false,Duis at velit eu est congue elementum.,8
75,true,Duis bibendum.,65
76,false,Suspendisse potenti.,24
77,false,In congue.,20
78,true,Duis aliquam convallis nunc.,68
79,false,Cras in purus eu magna vulputate luctus.,58
80,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",73
81,true,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",33
82,false,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",29
83,true,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,42
84,true,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",8
85,true,Duis ac nibh.,70
86,false,Curabitur at ipsum ac tellus semper interdum.,14
87,false,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",6
88,true,Nulla ut erat id mauris vulputate elementum.,15
89,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",59
90,true,Nullam porttitor lacus at turpis.,17
91,true,Sed vel enim sit amet nunc viverra dapibus.,77
92,true,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",73
93,false,Proin interdum mauris non ligula pellentesque ultrices.,46
94,true,Aliquam quis turpis eget elit sodales scelerisque.,65
95,false,Proin interdum mauris non ligula pellentesque ultrices.,21
96,true,Aliquam non mauris.,37
97,true,Aliquam non mauris.,24
98,true,Nulla justo.,19
99,true,Donec vitae nisi.,33
100,false,Maecenas rhoncus aliquam lacus.,25
101,true,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1
102,false,Morbi porttitor lorem id ligula.,16
103,true,Suspendisse ornare consequat lectus.,12
104,true,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",35
105,true,Aenean lectus.,7
106,true,Integer tincidunt ante vel ipsum.,66
107,false,Etiam justo.,24
108,true,Aenean lectus.,52
109,false,Nullam molestie nibh in lectus.,40
110,true,Morbi non lectus.,36
111,false,Nulla tellus.,40
112,false,Pellentesque eget nunc.,42
113,true,Nulla justo.,68
114,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",71
115,true,Nam tristique tortor eu pede.,60
116,true,Pellentesque viverra pede ac diam.,55
117,false,Suspendisse potenti.,16
118,true,Praesent blandit lacinia erat.,18
119,true,Cras non velit nec nisi vulputate nonummy.,11
120,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",80
121,true,Vivamus vestibulum sagittis sapien.,7
122,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",29
123,true,Praesent lectus.,38
124,true,Nunc nisl.,17
125,true,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",24
126,false,Vivamus tortor.,67
127,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",57
128,false,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",29
129,true,In hac habitasse platea dictumst.,28
130,false,Aliquam quis turpis eget elit sodales scelerisque.,20
131,true,Morbi non lectus.,11
132,false,Mauris lacinia sapien quis libero.,73
133,true,Duis at velit eu est congue elementum.,68
134,true,Pellentesque eget nunc.,16
135,false,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",66
136,false,Maecenas pulvinar lobortis est.,8
137,false,Curabitur convallis.,42
138,false,Sed accumsan felis.,22
139,true,Quisque id justo sit amet sapien dignissim vestibulum.,74
140,false,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",48
141,false,Donec quis orci eget orci vehicula condimentum.,18
142,false,Nulla tempus.,68
143,true,Nulla nisl.,80
144,false,Mauris sit amet eros.,40
145,true,Integer ac neque.,11
146,false,Nulla ac enim.,42
147,true,Nullam sit amet turpis elementum ligula vehicula consequat.,60
148,true,Aliquam non mauris.,11
149,false,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",13
150,false,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",35
151,false,In hac habitasse platea dictumst.,43
152,false,Duis ac nibh.,40
153,false,Integer ac leo.,53
154,false,Duis at velit eu est congue elementum.,70
155,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",12
156,true,Phasellus sit amet erat.,19
157,false,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",59
158,false,Ut tellus.,43
159,true,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",68
160,true,Ut at dolor quis odio consequat varius.,25
