TIME_PERIOD,Reference area,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,Housing spending,Community development spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Gini index,Region
2001,Sweden,SWE,78.699997,28.0,0.0734319847255705,0.0631525528524754,0.0057497428086187,0.0025634702523358,5.1075,5.825,8895960.0,27259.4806735435,2.40595834145438,26.5,Europe and Central Asia
2002,Sweden,SWE,78.0,28.0,0.0744209435547846,0.0662679071942298,0.0054619889308908,0.0028846369107588,5.30333333333333,5.95,8924958.0,29957.9387652616,2.15848213589264,26.2,Europe and Central Asia
2003,Sweden,SWE,77.199997,28.0,0.0739587606425347,0.068195134591681,0.0053845667652998,0.0027333728169238,4.63833333333333,6.56666666666667,8958229.0,37292.4214343004,1.92565534892391,25.3,Europe and Central Asia
2004,Sweden,SWE,76.400002,28.0,0.0727344110634382,0.0660875459794641,0.0050463662139349,0.0028772178448569,4.425,7.375,8993531.0,42758.2015503417,0.373659828721813,26.1,Europe and Central Asia
2005,Sweden,SWE,75.699997,28.0,0.0728773684045985,0.0662961924126886,0.0037364162076161,0.0029165022551356,3.3825,7.78333333333333,9029572.0,43378.6152117149,0.453170852576182,26.8,Europe and Central Asia
2006,Sweden,SWE,74.300003,28.0,0.0716431463196998,0.0652384062141907,0.0035428634479564,0.0026424725291322,3.70416666666667,7.24166666666667,9080505.0,46531.6001120572,1.3602146862768,26.4,Europe and Central Asia
2007,Sweden,SWE,70.800003,28.0,0.069461513436062,0.0651531158600073,0.0032121262657075,0.0026445167742581,4.1675,6.31666666666666,9148092.0,53568.5645523213,2.21216883436735,27.1,Europe and Central Asia
2008,Sweden,SWE,68.300003,28.0,0.0707092803813657,0.0674500341626014,0.0030472699156171,0.0026020901969076,3.8875,6.35,9219637.0,55817.4392710726,3.43704910602874,28.1,Europe and Central Asia
2009,Sweden,SWE,68.400002,26.3,0.0737810604334106,0.0716845905232727,0.0030922103897701,0.0025095066710246,3.25,8.48333333333334,9298515.0,46707.8673215418,-0.494460544377991,27.3,Europe and Central Asia
2010,Sweden,SWE,68.199997,26.3,0.0707731398092822,0.0687616129494576,0.0029804047888079,0.0020993762971518,2.89333333333333,8.775,9378126.0,52542.8274141037,1.15798802715628,27.7,Europe and Central Asia
