Country,TIME_PERIOD,IRLT,UNEMP
AUS,2000,6.31456933441667,6.28554620833333
AUS,2001,5.61526432833333,6.74217304166667
AUS,2002,5.84395771116667,6.36891133333333
AUS,2003,5.36677549766667,5.92842029166667
AUS,2004,5.5907745075,5.39673355
AUS,2005,5.33997311391667,5.03388074166667
AUS,2006,5.58787224425,4.785239725
AUS,2007,5.99452083733333,4.37915150833333
AUS,2008,5.81794393966667,4.23432970833333
AUS,2009,5.03951184208334,5.56038543333333
AUS,2010,5.36604166666667,5.21334044166667
AUS,2011,4.87958333333333,5.08119518333333
AUS,2012,3.37916666666667,5.22337585833333
AUS,2013,3.72304166666667,5.6619398
AUS,2014,3.66383333333333,6.07724431666667
AUS,2015,2.7204999999999995,6.05642340833333
AUS,2016,2.34083333333333,5.714148675
AUS,2017,2.6412500000000008,5.606331333333334
AUS,2018,2.681666666666666,5.308814958333333
AUS,2019,1.497083333333333,5.164947325
AUS,2020,0.9201666666666664,6.442963916666666
AUS,2021,1.47975,5.140222525
AUS,2022,3.1965000000000003,3.724859033333333
AUS,2023,3.942166666666667,3.687518966666667
AUS,2024,4.2097500000000005,4.016832174999999
AUT,2000,5.5554,3.93333333333333
AUT,2001,5.08016666666667,3.98333333333333
AUT,2002,4.9638,4.38333333333333
AUT,2003,4.14086666666667,4.75833333333333
AUT,2004,4.13089166666667,5.89166666666667
AUT,2005,3.39373333333333,6.03333333333333
AUT,2006,3.80084166666667,5.64166666666667
AUT,2007,4.29708333333333,5.21666666666667
AUT,2008,4.358525,4.44166666666667
AUT,2009,3.93763333333333,5.66666666666667
AUT,2010,3.22638333333333,5.19166666666667
AUT,2011,3.31965833333333,4.9
AUT,2012,2.371175,5.19166666666667
AUT,2013,2.01075833333333,5.725
AUT,2014,1.48729166666667,6.03333333333333
AUT,2015,0.747041666666667,6.15
AUT,2016,0.375383333333333,6.45
AUT,2017,0.583283333333333,5.925
AUT,2018,0.686158333333333,5.20833333333333
AUT,2019,0.0629333333333334,4.84166666666667
AUT,2020,-0.22485,6.025
AUT,2021,-0.0853833333333334,6.2
AUT,2022,1.71115,4.75833333333333
AUT,2023,3.0826750000000005,5.1083333333333325
AUT,2024,2.842708333333333,5.175
BEL,2000,5.5925,6.875
BEL,2001,5.13083333333333,6.59166666666667
BEL,2002,4.98666666666667,7.525
BEL,2003,4.18083333333333,8.175
BEL,2004,4.1525,8.39166666666667
BEL,2005,3.42833333333333,8.43333333333333
BEL,2006,3.815,8.25
BEL,2007,4.32833333333333,7.48333333333333
BEL,2008,4.4175,6.975
BEL,2009,3.90166666666667,7.99166666666667
BEL,2010,3.4625,8.375
BEL,2011,4.23333333333333,7.21666666666667
BEL,2012,3.0,7.63333333333333
BEL,2013,2.41,8.55
BEL,2014,1.71333333333333,8.65
BEL,2015,0.84,8.65
BEL,2016,0.475833333333333,7.85
BEL,2017,0.7225,7.1
BEL,2018,0.795,5.95833333333333
BEL,2019,0.193333333333333,5.36666666666667
BEL,2020,-0.148333333333333,5.54166666666667
BEL,2021,-0.0141666666666667,6.275
BEL,2022,1.73333333333333,5.575
BEL,2023,3.08916666666667,5.524999999999999
BEL,2024,2.9249999999999994,5.7
BRA,2000,10.75,
BRA,2001,9.5,
BRA,2002,9.875,
BRA,2003,11.5,
BRA,2004,9.8125,
BRA,2005,9.75,
BRA,2006,7.875,
BRA,2007,6.375,
