TIME_PERIOD,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,OBS_VALUE
2001,GRC,A,IRLT,PA,_Z,_Z,_Z,5.30416666666667
2001,HUN,A,UNEMP,PT_LF,_T,Y,_Z,5.575
2006,AUS,A,UNEMP,PT_LF,_T,Y,_Z,4.785239725
2005,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.03388074166667
2004,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.39673355
2021,HRV,A,UNEMP,PT_LF,_T,Y,_Z,7.5
2020,HRV,A,UNEMP,PT_LF,_T,Y,_Z,7.6499999999999995
2019,HRV,A,UNEMP,PT_LF,_T,Y,_Z,6.566666666666666
2022,AUS,A,UNEMP,PT_LF,_T,Y,_Z,3.724859033333333
2021,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.1402225249999995
2020,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.442963916666666
2019,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.164947325
2018,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.308814958333333
2017,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.606331333333334
2016,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.714148675
2015,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.05642340833333
2014,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.07724431666667
2013,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.6619398
2012,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.22337585833333
2000,AUS,A,IRLT,PA,_Z,_Z,_Z,6.31456933441667
2024,AUS,A,UNEMP,PT_LF,_T,Y,_Z,4.016832174999999
2023,AUS,A,UNEMP,PT_LF,_T,Y,_Z,3.687518966666667
2023,AUS,A,IRLT,PA,_Z,_Z,_Z,3.942166666666667
2022,AUS,A,IRLT,PA,_Z,_Z,_Z,3.1965000000000003
2021,AUS,A,IRLT,PA,_Z,_Z,_Z,1.47975
2020,AUS,A,IRLT,PA,_Z,_Z,_Z,0.9201666666666665
2019,AUS,A,IRLT,PA,_Z,_Z,_Z,1.497083333333333
2018,AUS,A,IRLT,PA,_Z,_Z,_Z,2.6816666666666666
2017,AUS,A,IRLT,PA,_Z,_Z,_Z,2.6412500000000008
2016,AUS,A,IRLT,PA,_Z,_Z,_Z,2.34083333333333
2015,AUS,A,IRLT,PA,_Z,_Z,_Z,2.7204999999999995
2014,AUS,A,IRLT,PA,_Z,_Z,_Z,3.66383333333333
2013,AUS,A,IRLT,PA,_Z,_Z,_Z,3.72304166666667
2012,AUS,A,IRLT,PA,_Z,_Z,_Z,3.37916666666667
2011,AUS,A,IRLT,PA,_Z,_Z,_Z,4.87958333333333
2010,AUS,A,IRLT,PA,_Z,_Z,_Z,5.36604166666667
2009,AUS,A,IRLT,PA,_Z,_Z,_Z,5.03951184208334
2008,AUS,A,IRLT,PA,_Z,_Z,_Z,5.81794393966667
2007,AUS,A,IRLT,PA,_Z,_Z,_Z,5.99452083733333
2006,AUS,A,IRLT,PA,_Z,_Z,_Z,5.58787224425
2005,AUS,A,IRLT,PA,_Z,_Z,_Z,5.33997311391667
2004,AUS,A,IRLT,PA,_Z,_Z,_Z,5.5907745075
2003,AUS,A,IRLT,PA,_Z,_Z,_Z,5.36677549766667
2002,AUS,A,IRLT,PA,_Z,_Z,_Z,5.84395771116667
2000,AUT,A,IRLT,PA,_Z,_Z,_Z,5.5554
2024,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.175
2023,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.1083333333333325
2006,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.64166666666667
2003,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.92842029166667
2002,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.36891133333333
2001,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.74217304166667
2000,AUS,A,UNEMP,PT_LF,_T,Y,_Z,6.28554620833333
2017,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.925
2016,AUT,A,UNEMP,PT_LF,_T,Y,_Z,6.45
2015,AUT,A,UNEMP,PT_LF,_T,Y,_Z,6.15
2014,AUT,A,UNEMP,PT_LF,_T,Y,_Z,6.03333333333333
2013,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.725
2012,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.19166666666667
2011,AUT,A,UNEMP,PT_LF,_T,Y,_Z,4.9
2010,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.19166666666667
2009,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.66666666666667
2008,AUT,A,UNEMP,PT_LF,_T,Y,_Z,4.44166666666667
2007,AUT,A,UNEMP,PT_LF,_T,Y,_Z,5.21666666666667
2024,AUT,A,IRLT,PA,_Z,_Z,_Z,2.842708333333333
2023,AUT,A,IRLT,PA,_Z,_Z,_Z,3.0826750000000005
2022,AUT,A,IRLT,PA,_Z,_Z,_Z,1.71115
2021,AUT,A,IRLT,PA,_Z,_Z,_Z,-0.0853833333333334
2020,AUT,A,IRLT,PA,_Z,_Z,_Z,-0.22485
2019,AUT,A,IRLT,PA,_Z,_Z,_Z,0.0629333333333334
2018,AUT,A,IRLT,PA,_Z,_Z,_Z,0.686158333333333
2017,AUT,A,IRLT,PA,_Z,_Z,_Z,0.583283333333333
2016,AUT,A,IRLT,PA,_Z,_Z,_Z,0.375383333333333
2015,AUT,A,IRLT,PA,_Z,_Z,_Z,0.747041666666667
2014,AUT,A,IRLT,PA,_Z,_Z,_Z,1.48729166666667
2013,AUT,A,IRLT,PA,_Z,_Z,_Z,2.01075833333333
2012,AUT,A,IRLT,PA,_Z,_Z,_Z,2.371175
2011,AUT,A,IRLT,PA,_Z,_Z,_Z,3.31965833333333
2010,AUT,A,IRLT,PA,_Z,_Z,_Z,3.22638333333333
2009,AUT,A,IRLT,PA,_Z,_Z,_Z,3.93763333333333
2008,AUT,A,IRLT,PA,_Z,_Z,_Z,4.358525
2007,AUT,A,IRLT,PA,_Z,_Z,_Z,4.29708333333333
2006,AUT,A,IRLT,PA,_Z,_Z,_Z,3.80084166666667
2005,AUT,A,IRLT,PA,_Z,_Z,_Z,3.39373333333333
2004,AUT,A,IRLT,PA,_Z,_Z,_Z,4.13089166666667
2003,AUT,A,IRLT,PA,_Z,_Z,_Z,4.14086666666667
2002,AUT,A,IRLT,PA,_Z,_Z,_Z,4.9638
2000,BEL,A,IRLT,PA,_Z,_Z,_Z,5.5925
2024,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.7
2023,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.524999999999999
2006,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.25
2005,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.43333333333333
2004,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.39166666666667
2003,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.175
2002,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.525
2001,BEL,A,UNEMP,PT_LF,_T,Y,_Z,6.59166666666667
2000,BEL,A,UNEMP,PT_LF,_T,Y,_Z,6.875
2022,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.575
2021,BEL,A,UNEMP,PT_LF,_T,Y,_Z,6.275
2020,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.54166666666667
2019,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.36666666666667
2018,BEL,A,UNEMP,PT_LF,_T,Y,_Z,5.95833333333333
2017,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.1
2016,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.85
2015,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.65
2014,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.65
2013,BEL,A,UNEMP,PT_LF,_T,Y,_Z,8.55
2012,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.63333333333333
2011,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.21666666666667
2011,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.08119518333333
2010,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.21334044166667
2009,AUS,A,UNEMP,PT_LF,_T,Y,_Z,5.56038543333333
2008,AUS,A,UNEMP,PT_LF,_T,Y,_Z,4.23432970833333
2007,AUS,A,UNEMP,PT_LF,_T,Y,_Z,4.37915150833333
2024,AUS,A,IRLT,PA,_Z,_Z,_Z,4.2097500000000005
2010,BEL,A,IRLT,PA,_Z,_Z,_Z,3.4625
2009,BEL,A,IRLT,PA,_Z,_Z,_Z,3.90166666666667
2008,BEL,A,IRLT,PA,_Z,_Z,_Z,4.4175
2007,BEL,A,IRLT,PA,_Z,_Z,_Z,4.32833333333333
2006,BEL,A,IRLT,PA,_Z,_Z,_Z,3.815
2005,BEL,A,IRLT,PA,_Z,_Z,_Z,3.42833333333333
2004,BEL,A,IRLT,PA,_Z,_Z,_Z,4.1525
2003,BEL,A,IRLT,PA,_Z,_Z,_Z,4.18083333333333
2002,BEL,A,IRLT,PA,_Z,_Z,_Z,4.98666666666667
2000,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.81666666666667
2024,CAN,A,IRLT,PA,_Z,_Z,_Z,3.3398444121667814
2023,CAN,A,IRLT,PA,_Z,_Z,_Z,3.360639308250866
2006,CAN,A,IRLT,PA,_Z,_Z,_Z,4.207759697332923
2005,CAN,A,IRLT,PA,_Z,_Z,_Z,4.066929292929292
2004,CAN,A,IRLT,PA,_Z,_Z,_Z,4.579606758579584
2003,CAN,A,IRLT,PA,_Z,_Z,_Z,4.810544562162985
2002,CAN,A,IRLT,PA,_Z,_Z,_Z,5.2909071067821065
2001,CAN,A,IRLT,PA,_Z,_Z,_Z,5.48027224310777
2000,CAN,A,IRLT,PA,_Z,_Z,_Z,5.92541187165873
2022,CAN,A,IRLT,PA,_Z,_Z,_Z,2.7685795797134483
2021,CAN,A,IRLT,PA,_Z,_Z,_Z,1.358811126548255
2020,CAN,A,IRLT,PA,_Z,_Z,_Z,0.7531086618060302
2019,CAN,A,IRLT,PA,_Z,_Z,_Z,1.5887419210906044
2018,CAN,A,IRLT,PA,_Z,_Z,_Z,2.2779121098200066
2017,CAN,A,IRLT,PA,_Z,_Z,_Z,1.7836520298605532
2016,CAN,A,IRLT,PA,_Z,_Z,_Z,1.2517575757575765
2015,CAN,A,IRLT,PA,_Z,_Z,_Z,1.5216945963393333
2014,CAN,A,IRLT,PA,_Z,_Z,_Z,2.230830257461836
2013,CAN,A,IRLT,PA,_Z,_Z,_Z,2.2619587605377083
2012,CAN,A,IRLT,PA,_Z,_Z,_Z,1.8734101256930218
2011,CAN,A,IRLT,PA,_Z,_Z,_Z,2.7830361208521954
2010,CAN,A,IRLT,PA,_Z,_Z,_Z,3.2351399665996348
2009,CAN,A,IRLT,PA,_Z,_Z,_Z,3.230618895724159
2008,CAN,A,IRLT,PA,_Z,_Z,_Z,3.6053023942431843
2007,CAN,A,IRLT,PA,_Z,_Z,_Z,4.26976742993848
2024,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.3500000000000005
2023,CAN,A,UNEMP,PT_LF,_T,Y,_Z,5.383333333333334
2022,CAN,A,UNEMP,PT_LF,_T,Y,_Z,5.275
2021,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.533333333333333
2020,CAN,A,UNEMP,PT_LF,_T,Y,_Z,9.69166666666667
2019,CAN,A,UNEMP,PT_LF,_T,Y,_Z,5.683333333333334
2018,CAN,A,UNEMP,PT_LF,_T,Y,_Z,5.841666666666668
2017,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.433333333333334
2016,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.0666666666666655
2015,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7
2014,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.041666666666666
2013,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.166666666666667
2012,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.416666666666667
2011,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.641666666666666
2010,CAN,A,UNEMP,PT_LF,_T,Y,_Z,8.175
2009,CAN,A,UNEMP,PT_LF,_T,Y,_Z,8.45
2008,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.29166666666667
2007,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.16666666666667
2006,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.46666666666667
2005,CAN,A,UNEMP,PT_LF,_T,Y,_Z,6.75833333333333
2004,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.19166666666667
2003,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.575
2002,CAN,A,UNEMP,PT_LF,_T,Y,_Z,7.675
2005,CHL,A,IRLT,PA,_Z,_Z,_Z,6.006973103621354
2024,CHL,A,UNEMP,PT_LF,_T,Y,_Z,8.462000255549642
2023,CHL,A,UNEMP,PT_LF,_T,Y,_Z,8.681177834205096
2006,CHL,A,UNEMP,PT_LF,_T,Y,_Z,7.8
2005,CHL,A,UNEMP,PT_LF,_T,Y,_Z,9.235
2004,CHL,A,UNEMP,PT_LF,_T,Y,_Z,10.0075
2003,CHL,A,UNEMP,PT_LF,_T,Y,_Z,9.54
2002,CHL,A,UNEMP,PT_LF,_T,Y,_Z,9.805
2001,CHL,A,UNEMP,PT_LF,_T,Y,_Z,9.8525
2000,CHL,A,UNEMP,PT_LF,_T,Y,_Z,9.6675
2022,CHL,A,UNEMP,PT_LF,_T,Y,_Z,7.878028038869055
2021,CHL,A,UNEMP,PT_LF,_T,Y,_Z,8.861450621078715
2020,CHL,A,UNEMP,PT_LF,_T,Y,_Z,10.77024455383019
2019,CHL,A,UNEMP,PT_LF,_T,Y,_Z,7.222639574181943
