,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
0,POL,2023,36687353.0,22056.6661704127,11.5289127961105
1,POL,2022,36821749.0,18891.2121169279,14.4294507575758
2,POL,2021,36981559.0,18635.5104895754,5.05502704719272
3,POL,2020,37899070.0,15987.5753654045,3.37446972618589
4,POL,2019,37965475.0,15874.5220531254,2.227478809383
5,POL,2018,37974750.0,15658.2120316794,1.81295156542679
6,POL,2017,37974826.0,13913.3402919927,2.0759355367385
7,POL,2016,37970087.0,12464.0110508476,-0.664767331433961
8,POL,2015,37986412.0,12637.5220324406,-0.87412587412577
9,POL,2014,38011735.0,14262.2841914116,0.0538213132399802
10,POL,2013,38040196.0,13621.9023794031,0.991982606332428
11,POL,2012,38063164.0,13087.420943321,3.56037151702783
12,POL,2011,38063255.0,13867.6669408192,4.2394014962594
13,POL,2010,38042794.0,12567.7317676382,2.58069370250543
14,POL,2009,38151603.0,11556.3026866026,3.79539242483406
15,POL,2008,38125759.0,14048.5604672654,4.16497193524764
16,POL,2007,38120560.0,11272.5293683383,2.45874312385402
17,POL,2006,38141267.0,9068.85528307627,1.28469394366408
18,POL,2005,38165445.0,8043.92332253757,2.18379872390258
19,POL,2004,38182222.0,6711.72715262967,3.38264681884691
20,POL,2003,38204570.0,5720.81366178104,0.682701375787681
21,POL,2002,38230364.0,5223.45178967082,1.90528215048055
22,POL,2001,38248076.0,5015.23790036613,5.40833545566148
23,POL,2000,38258629.0,4520.64100449111,9.90017538843064
24,POL,1999,38660271.0,4415.50067547826,7.15407291179862
25,POL,1998,38663481.0,4533.5356551781,11.5978554257235
26,POL,1997,38649660.0,4137.00831823145,14.9131586149599
27,POL,1996,38624370.0,4163.51195431959,19.7949669196707
28,POL,1995,38594998.0,3700.95956775144,27.951388563304
29,POL,1994,38542652.0,2874.83163555069,32.9912766093522
30,POL,1993,38461408.0,2497.13055936127,36.9641666120718
31,POL,1992,38363667.0,2459.02068468253,46.0985621037431
32,POL,1991,38246193.0,2235.54108862522,76.7694992087347
33,POL,1990,38110782.0,1731.2095094382,567.878800666191
34,POL,1989,37961529.0,,244.550932984827
35,POL,1988,37824487.0,,58.7208297320654
36,POL,1987,37668045.0,,26.3790278536323
37,POL,1986,37456119.0,,16.5499681731383
38,POL,1985,37201885.0,,11.5212607368495
39,POL,1984,36904134.0,,15.4009994265582
40,POL,1983,36571808.0,,25.534759358289
41,POL,1982,36230481.0,,103.55871886121
42,POL,1981,35898587.0,,19.1271820448877
43,POL,1980,35574150.0,,9.68271334792129
44,POL,1979,35247217.0,,7.02576112412187
45,POL,1978,34965600.0,,8.10126582278465
46,POL,1977,34689050.0,,4.90278951821559
47,POL,1976,34356300.0,,4.41306266552893
48,POL,1975,34015199.0,,2.2563176895509
49,POL,1974,33678899.0,,7.05314009565229
50,POL,1973,33357200.0,,2.47524752475231
51,POL,1972,33055650.0,,-0.0989119673600758
52,POL,1971,32783500.0,,1.09999999900012
53,POL,1970,32664300.0,,
54,POL,1969,32548300.0,,
55,POL,1968,32294655.0,,
56,POL,1967,31987155.0,,
57,POL,1966,31681000.0,,
58,POL,1965,31444950.0,,
59,POL,1964,31139450.0,,
60,POL,1963,30712000.0,,
61,POL,1962,30308500.0,,
62,POL,1961,29964000.0,,
63,POL,1960,29637450.0,,
64,POL,2024,,,3.7842600751287
65,IRL,2023,5307600.0,103887.800388081,6.29942487419125
66,IRL,2022,5165700.0,106194.755859223,7.82945736434105
67,IRL,2021,5033164.0,105561.137468992,2.34034113447044
68,IRL,2020,4985382.0,87567.1148972037,-0.326183651280033
