,TIME_PERIOD,Reference area,REF_AREA,Trade union density,Combined corporate income tax rate
0,2000,Mexico,MEX,16.700001,35.0
1,2000,Mexico,MEX,16.700001,35.0
2,2000,Mexico,MEX,16.700001,35.0
3,2002,Mexico,MEX,15.5,35.0
4,2002,Mexico,MEX,15.5,35.0
5,2002,Mexico,MEX,15.5,35.0
6,2005,Mexico,MEX,16.9,30.0
7,2005,Mexico,MEX,16.9,30.0
8,2005,Mexico,MEX,16.9,30.0
9,2006,Mexico,MEX,16.299999,29.0
10,2006,Mexico,MEX,16.299999,29.0
11,2006,Mexico,MEX,16.299999,29.0
12,2007,Mexico,MEX,16.700001,28.0
13,2007,Mexico,MEX,16.700001,28.0
14,2007,Mexico,MEX,16.700001,28.0
15,2008,Mexico,MEX,15.6,28.0
16,2008,Mexico,MEX,15.6,28.0
17,2008,Mexico,MEX,15.6,28.0
18,2009,Mexico,MEX,15.3,28.0
19,2009,Mexico,MEX,15.3,28.0
20,2009,Mexico,MEX,15.3,28.0
21,2010,Mexico,MEX,14.5,30.0
22,2010,Mexico,MEX,14.5,30.0
23,2010,Mexico,MEX,14.5,30.0
24,2011,Mexico,MEX,14.7,30.0
25,2011,Mexico,MEX,14.7,30.0
26,2011,Mexico,MEX,14.7,30.0
27,2012,Mexico,MEX,14.0,30.0
28,2012,Mexico,MEX,14.0,30.0
29,2012,Mexico,MEX,14.0,30.0
30,2013,Mexico,MEX,13.8,30.0
31,2013,Mexico,MEX,13.8,30.0
32,2013,Mexico,MEX,13.8,30.0
33,2014,Mexico,MEX,13.6,30.0
34,2014,Mexico,MEX,13.6,30.0
35,2014,Mexico,MEX,13.6,30.0
36,2015,Mexico,MEX,13.1,30.0
37,2015,Mexico,MEX,13.1,30.0
38,2015,Mexico,MEX,13.1,30.0
39,2016,Mexico,MEX,12.7,30.0
40,2016,Mexico,MEX,12.7,30.0
41,2016,Mexico,MEX,12.7,30.0
42,2017,Mexico,MEX,12.5,30.0
43,2017,Mexico,MEX,12.5,30.0
44,2017,Mexico,MEX,12.5,30.0
45,2018,Mexico,MEX,12.0,30.0
46,2018,Mexico,MEX,12.0,30.0
47,2018,Mexico,MEX,12.0,30.0
48,2019,Mexico,MEX,12.3,30.0
49,2019,Mexico,MEX,12.3,30.0
50,2019,Mexico,MEX,12.3,30.0
51,2020,Mexico,MEX,12.4,30.0
52,2020,Mexico,MEX,12.4,30.0
53,2020,Mexico,MEX,12.4,30.0
54,2000,Sweden,SWE,81.0,28.0
55,2000,Sweden,SWE,81.0,28.0
56,2000,Sweden,SWE,81.0,28.0
57,2001,Sweden,SWE,78.699997,28.0
58,2001,Sweden,SWE,78.699997,28.0
59,2001,Sweden,SWE,78.699997,28.0
60,2002,Sweden,SWE,78.0,28.0
61,2002,Sweden,SWE,78.0,28.0
62,2002,Sweden,SWE,78.0,28.0
63,2003,Sweden,SWE,77.199997,28.0
64,2003,Sweden,SWE,77.199997,28.0
65,2003,Sweden,SWE,77.199997,28.0
66,2004,Sweden,SWE,76.400002,28.0
67,2004,Sweden,SWE,76.400002,28.0
68,2004,Sweden,SWE,76.400002,28.0
69,2005,Sweden,SWE,75.699997,28.0
70,2005,Sweden,SWE,75.699997,28.0
71,2005,Sweden,SWE,75.699997,28.0
72,2006,Sweden,SWE,74.300003,28.0
73,2006,Sweden,SWE,74.300003,28.0
74,2006,Sweden,SWE,74.300003,28.0
75,2007,Sweden,SWE,70.800003,28.0
76,2007,Sweden,SWE,70.800003,28.0
77,2007,Sweden,SWE,70.800003,28.0
78,2008,Sweden,SWE,68.300003,28.0
79,2008,Sweden,SWE,68.300003,28.0
80,2008,Sweden,SWE,68.300003,28.0
81,2009,Sweden,SWE,68.400002,26.3
82,2009,Sweden,SWE,68.400002,26.3
83,2009,Sweden,SWE,68.400002,26.3
84,2010,Sweden,SWE,68.199997,26.3
85,2010,Sweden,SWE,68.199997,26.3
86,2010,Sweden,SWE,68.199997,26.3
87,2011,Sweden,SWE,67.5,26.3
88,2011,Sweden,SWE,67.5,26.3
89,2011,Sweden,SWE,67.5,26.3
90,2012,Sweden,SWE,67.5,26.3
91,2012,Sweden,SWE,67.5,26.3
92,2012,Sweden,SWE,67.5,26.3
93,2013,Sweden,SWE,67.699997,22.0
94,2013,Sweden,SWE,67.699997,22.0
95,2013,Sweden,SWE,67.699997,22.0
96,2014,Sweden,SWE,67.300003,22.0
97,2014,Sweden,SWE,67.300003,22.0
98,2014,Sweden,SWE,67.300003,22.0
99,2015,Sweden,SWE,67.0,22.0
100,2015,Sweden,SWE,67.0,22.0
101,2015,Sweden,SWE,67.0,22.0
102,2016,Sweden,SWE,66.699997,22.0
103,2016,Sweden,SWE,66.699997,22.0
104,2016,Sweden,SWE,66.699997,22.0
105,2017,Sweden,SWE,66.099998,22.0
106,2017,Sweden,SWE,66.099998,22.0
107,2017,Sweden,SWE,66.099998,22.0
108,2018,Sweden,SWE,65.5,22.0
109,2018,Sweden,SWE,65.5,22.0
110,2018,Sweden,SWE,65.5,22.0
111,2019,Sweden,SWE,65.199997,21.4
112,2019,Sweden,SWE,65.199997,21.4
