Entity,Code,Year,World regions according to WB
Afghanistan,AFG,2023,South Asia (WB)
Aland Islands,ALA,2023,Europe and Central Asia (WB)
Albania,ALB,2023,Europe and Central Asia (WB)
Algeria,DZA,2023,Middle East and North Africa (WB)
American Samoa,ASM,2023,East Asia and Pacific (WB)
Andorra,AND,2023,Europe and Central Asia (WB)
Angola,AGO,2023,Sub-Saharan Africa (WB)
Anguilla,AIA,2023,Europe and Central Asia (WB)
Antigua and Barbuda,ATG,2023,Latin America and Caribbean (WB)
Argentina,ARG,2023,Latin America and Caribbean (WB)
Armenia,ARM,2023,Europe and Central Asia (WB)
Aruba,ABW,2023,Latin America and Caribbean (WB)
Australia,AUS,2023,East Asia and Pacific (WB)
Austria,AUT,2023,Europe and Central Asia (WB)
Austria-Hungary,OWID_AUH,2023,Europe and Central Asia (WB)
Azerbaijan,AZE,2023,Europe and Central Asia (WB)
Bahamas,BHS,2023,Latin America and Caribbean (WB)
Bahrain,BHR,2023,Middle East and North Africa (WB)
Bangladesh,BGD,2023,South Asia (WB)
Barbados,BRB,2023,Latin America and Caribbean (WB)
Belarus,BLR,2023,Europe and Central Asia (WB)
Belgium,BEL,2023,Europe and Central Asia (WB)
Belize,BLZ,2023,Latin America and Caribbean (WB)
Benin,BEN,2023,Sub-Saharan Africa (WB)
Bermuda,BMU,2023,North America (WB)
Bhutan,BTN,2023,South Asia (WB)
Bolivia,BOL,2023,Latin America and Caribbean (WB)
Bonaire Sint Eustatius and Saba,BES,2023,Europe and Central Asia (WB)
Bosnia and Herzegovina,BIH,2023,Europe and Central Asia (WB)
Botswana,BWA,2023,Sub-Saharan Africa (WB)
Brazil,BRA,2023,Latin America and Caribbean (WB)
British Indian Ocean Territory,IOT,2023,South Asia (WB)
British Virgin Islands,VGB,2023,Latin America and Caribbean (WB)
Brunei,BRN,2023,East Asia and Pacific (WB)
Bulgaria,BGR,2023,Europe and Central Asia (WB)
Burkina Faso,BFA,2023,Sub-Saharan Africa (WB)
Burundi,BDI,2023,Sub-Saharan Africa (WB)
Cambodia,KHM,2023,East Asia and Pacific (WB)
Cameroon,CMR,2023,Sub-Saharan Africa (WB)
Canada,CAN,2023,North America (WB)
Cape Verde,CPV,2023,Sub-Saharan Africa (WB)
Cayman Islands,CYM,2023,Latin America and Caribbean (WB)
Central African Republic,CAF,2023,Sub-Saharan Africa (WB)
Chad,TCD,2023,Sub-Saharan Africa (WB)
Chile,CHL,2023,Latin America and Caribbean (WB)
China,CHN,2023,East Asia and Pacific (WB)
Christmas Island,CXR,2023,East Asia and Pacific (WB)
Cocos Islands,CCK,2023,East Asia and Pacific (WB)
Colombia,COL,2023,Latin America and Caribbean (WB)
Comoros,COM,2023,Sub-Saharan Africa (WB)
Congo,COG,2023,Sub-Saharan Africa (WB)
Cook Islands,COK,2023,East Asia and Pacific (WB)
Costa Rica,CRI,2023,Latin America and Caribbean (WB)
Cote d'Ivoire,CIV,2023,Sub-Saharan Africa (WB)
Croatia,HRV,2023,Europe and Central Asia (WB)
Cuba,CUB,2023,Latin America and Caribbean (WB)
Curacao,CUW,2023,Latin America and Caribbean (WB)
Cyprus,CYP,2023,Europe and Central Asia (WB)
Czechia,CZE,2023,Europe and Central Asia (WB)
Czechoslovakia,OWID_CZS,2023,Europe and Central Asia (WB)
Democratic Republic of Congo,COD,2023,Sub-Saharan Africa (WB)
Democratic Republic of Vietnam,,2023,East Asia and Pacific (WB)
Denmark,DNK,2023,Europe and Central Asia (WB)
Djibouti,DJI,2023,Middle East and North Africa (WB)
Dominica,DMA,2023,Latin America and Caribbean (WB)
Dominican Republic,DOM,2023,Latin America and Caribbean (WB)
Duchy of Modena and Reggio,,2023,Europe and Central Asia (WB)
Duchy of Parma and Piacenza,,2023,Europe and Central Asia (WB)
East Germany,OWID_GDR,2023,Europe and Central Asia (WB)
East Timor,TLS,2023,East Asia and Pacific (WB)
Ecuador,ECU,2023,Latin America and Caribbean (WB)
Egypt,EGY,2023,Middle East and North Africa (WB)
El Salvador,SLV,2023,Latin America and Caribbean (WB)
Equatorial Guinea,GNQ,2023,Sub-Saharan Africa (WB)
Eritrea,ERI,2023,Sub-Saharan Africa (WB)
Estonia,EST,2023,Europe and Central Asia (WB)
Eswatini,SWZ,2023,Sub-Saharan Africa (WB)
Ethiopia,ETH,2023,Sub-Saharan Africa (WB)
Ethiopia (former),OWID_ERE,2023,Sub-Saharan Africa (WB)
Falkland Islands,FLK,2023,Latin America and Caribbean (WB)
Faroe Islands,FRO,2023,Europe and Central Asia (WB)
Federal Republic of Central America,,2023,Latin America and Caribbean (WB)
Fiji,FJI,2023,East Asia and Pacific (WB)
Finland,FIN,2023,Europe and Central Asia (WB)
France,FRA,2023,Europe and Central Asia (WB)
French Guiana,GUF,2023,Europe and Central Asia (WB)
French Polynesia,PYF,2023,East Asia and Pacific (WB)
Gabon,GAB,2023,Sub-Saharan Africa (WB)
Gambia,GMB,2023,Sub-Saharan Africa (WB)
Georgia,GEO,2023,Europe and Central Asia (WB)
Germany,DEU,2023,Europe and Central Asia (WB)
Ghana,GHA,2023,Sub-Saharan Africa (WB)
Gibraltar,GIB,2023,Europe and Central Asia (WB)
Grand Duchy of Baden,,2023,Europe and Central Asia (WB)
Grand Duchy of Tuscany,,2023,Europe and Central Asia (WB)
Great Colombia,,2023,Latin America and Caribbean (WB)
Greece,GRC,2023,Europe and Central Asia (WB)
Greenland,GRL,2023,Europe and Central Asia (WB)
Grenada,GRD,2023,Latin America and Caribbean (WB)
Guadeloupe,GLP,2023,Europe and Central Asia (WB)
Guam,GUM,2023,East Asia and Pacific (WB)
Guatemala,GTM,2023,Latin America and Caribbean (WB)
Guernsey,GGY,2023,Europe and Central Asia (WB)
Guinea,GIN,2023,Sub-Saharan Africa (WB)
Guinea-Bissau,GNB,2023,Sub-Saharan Africa (WB)
Guyana,GUY,2023,Latin America and Caribbean (WB)
Haiti,HTI,2023,Latin America and Caribbean (WB)
Honduras,HND,2023,Latin America and Caribbean (WB)
Hong Kong,HKG,2023,East Asia and Pacific (WB)
Hungary,HUN,2023,Europe and Central Asia (WB)
Iceland,ISL,2023,Europe and Central Asia (WB)
India,IND,2023,South Asia (WB)
Indonesia,IDN,2023,East Asia and Pacific (WB)
Iran,IRN,2023,Middle East and North Africa (WB)
Iraq,IRQ,2023,Middle East and North Africa (WB)
Ireland,IRL,2023,Europe and Central Asia (WB)
Isle of Man,IMN,2023,Europe and Central Asia (WB)
Israel,ISR,2023,Middle East and North Africa (WB)
Italy,ITA,2023,Europe and Central Asia (WB)
Jamaica,JAM,2023,Latin America and Caribbean (WB)
Japan,JPN,2023,East Asia and Pacific (WB)
Jersey,JEY,2023,Europe and Central Asia (WB)
Jordan,JOR,2023,Middle East and North Africa (WB)
Kazakhstan,KAZ,2023,Europe and Central Asia (WB)
Kenya,KEN,2023,Sub-Saharan Africa (WB)
Kingdom of Bavaria,,2023,Europe and Central Asia (WB)
Kingdom of Sardinia,,2023,Europe and Central Asia (WB)
Kingdom of Saxony,,2023,Europe and Central Asia (WB)
Kingdom of Wurttemberg,,2023,Europe and Central Asia (WB)
Kingdom of the Two Sicilies,,2023,Europe and Central Asia (WB)
Kiribati,KIR,2023,East Asia and Pacific (WB)
Korea (former),OWID_KRU,2023,East Asia and Pacific (WB)
Kosovo,OWID_KOS,2023,Europe and Central Asia (WB)
Kuwait,KWT,2023,Middle East and North Africa (WB)
Kyrgyzstan,KGZ,2023,Europe and Central Asia (WB)
Laos,LAO,2023,East Asia and Pacific (WB)
Latvia,LVA,2023,Europe and Central Asia (WB)
Lebanon,LBN,2023,Middle East and North Africa (WB)
Lesotho,LSO,2023,Sub-Saharan Africa (WB)
Liberia,LBR,2023,Sub-Saharan Africa (WB)
Libya,LBY,2023,Middle East and North Africa (WB)
Liechtenstein,LIE,2023,Europe and Central Asia (WB)
Lithuania,LTU,2023,Europe and Central Asia (WB)
Luxembourg,LUX,2023,Europe and Central Asia (WB)
Macao,MAC,2023,East Asia and Pacific (WB)
Madagascar,MDG,2023,Sub-Saharan Africa (WB)
Malawi,MWI,2023,Sub-Saharan Africa (WB)
Malaysia,MYS,2023,East Asia and Pacific (WB)
Maldives,MDV,2023,South Asia (WB)
Mali,MLI,2023,Sub-Saharan Africa (WB)
Malta,MLT,2023,Middle East and North Africa (WB)
Marshall Islands,MHL,2023,East Asia and Pacific (WB)
Martinique,MTQ,2023,Europe and Central Asia (WB)
Mauritania,MRT,2023,Sub-Saharan Africa (WB)
Mauritius,MUS,2023,Sub-Saharan Africa (WB)
Mayotte,MYT,2023,Europe and Central Asia (WB)
Mexico,MEX,2023,Latin America and Caribbean (WB)
Micronesia (country),FSM,2023,East Asia and Pacific (WB)
Moldova,MDA,2023,Europe and Central Asia (WB)
Monaco,MCO,2023,Europe and Central Asia (WB)
Mongolia,MNG,2023,East Asia and Pacific (WB)
Montenegro,MNE,2023,Europe and Central Asia (WB)
Montserrat,MSR,2023,Europe and Central Asia (WB)
Morocco,MAR,2023,Middle East and North Africa (WB)
Mozambique,MOZ,2023,Sub-Saharan Africa (WB)
Myanmar,MMR,2023,East Asia and Pacific (WB)
Namibia,NAM,2023,Sub-Saharan Africa (WB)
Nauru,NRU,2023,East Asia and Pacific (WB)
Nepal,NPL,2023,South Asia (WB)
Netherlands,NLD,2023,Europe and Central Asia (WB)
Netherlands Antilles,ANT,2023,Europe and Central Asia (WB)
New Caledonia,NCL,2023,East Asia and Pacific (WB)
New Zealand,NZL,2023,East Asia and Pacific (WB)
Nicaragua,NIC,2023,Latin America and Caribbean (WB)
Niger,NER,2023,Sub-Saharan Africa (WB)
